Title;Hours Viewed;Views
KPop Demon Hunters;863700000;518300000
Back in Action;361600000;190300000
Happy Gilmore 2;265700000;135100000
STRAW;220200000;122300000
The Life List;245700000;118000000
Havoc;200300000;112400000
Despicable Me 4;167800000;107100000
Exterritorial;191800000;105600000
The Secret Life of Pets;147100000;101400000
Despicable Me 3;147500000;98400000
Frankenstein;247300000;97600000
Shrek;142800000;95200000
The Secret Life of Pets 2;131600000;91800000
Minions;137000000;90300000
The Electric State;185500000;87000000
Counterattack // Contraataque;122600000;86500000
My Oxford Year;162200000;86100000
Sing (2016);153300000;85200000
The Old Guard 2;145300000;81500000
Despicable Me 2;132100000;80900000
The Woman in Cabin 10;127300000;80400000
Ad Vitam;131100000;80300000
Hotel Transylvania 3: Summer Vacation;128100000;79200000
Shrek 2;121500000;78400000
A HOUSE OF DYNAMITE;144800000;75500000
The Boss Baby;120900000;74100000
Nonnas;139800000;73500000
The Super Mario Bros. Movie;107700000;70200000
The Thursday Murder Club;137500000;68800000
iHostage;116400000;68500000
Plankton: The Movie;100300000;68400000
Brick;112200000;66700000
Kinda Pregnant;110700000;66500000
The Great Flood // 대홍수;120000000;66100000
Despicable Me;102500000;64800000
La Dolce Villa;105200000;63800000
Carry-On;125200000;62600000
K.O.;90600000;62500000
Madea’s Destination Wedding;104500000;60300000
PAW Patrol: The Mighty Movie;86000000;58700000
The Wrong Paris;103400000;58000000
Dr. Seuss' The Grinch;81700000;57000000
Unknown Number: The High School Catfish;90000000;56800000
Wake Up Dead Man: A Knives Out Mystery;136900000;56300000
The Emoji Movie;81000000;55900000
A Widow's Game // La viuda negra;113000000;55600000
Bad Influence // Mala influencia;96800000;54300000
Caramelo;89000000;52900000
Fall for Me;92200000;52700000
We Can Be Heroes;86800000;51600000
Kraven the Hunter;106900000;50500000
The Croods;81500000;49900000
Champagne Problems;82100000;49800000
My Secret Santa;76100000;49600000
Happy Gilmore;75900000;49500000
The Perfect Neighbor;80800000;49000000
Sing: Thriller;9800000;49000000
Home (2015);76700000;48900000
Venom: The Last Dance;88500000;48700000
Rebel Ridge;104400000;47400000
In Your Dreams;71700000;47300000
Bee Movie;72100000;47000000
Plane;80900000;45300000
Red Notice;87700000;44600000
That Christmas;71000000;44400000
The Union;79800000;43900000
The Equalizer 2;88000000;43700000
Troll 2;76500000;43700000
A Deadly American Marriage;73100000;42600000
White Chicks;77100000;42400000
Puss in Boots: The Last Wish;70700000;41600000
Demon City // Demon City 鬼ゴロシ;74700000;41500000
Bullet Train Explosion // 新幹線大爆破;93300000;40800000
Shrek the Third;64600000;40800000
Jingle Bell Heist;64400000;40300000
Last Bullet // Balle perdue 3;75900000;40300000
Back to the Outback;63700000;39800000
