Title;Hours Viewed;Views
Adolescence: Limited Series;632000000;164900000
Squid Game: Season 3 // 오징어 게임: 시즌 3;922900000;150500000
Squid Game: Season 2 // 오징어 게임: 시즌 2;962700000;134400000
Wednesday: Season 2;964100000;123900000
Ms. Rachel: Season 1;304200000;100200000
Stranger Things 5;879700000;93500000
UNTAMED: Season 1;451600000;92800000
Stranger Things;483700000;70900000
Zero Day: Limited Series;363600000;70600000
Sirens: Limited Series;329900000;69700000
Missing You: Limited Series;248100000;65800000
Ginny & Georgia: Season 3;685100000;64800000
American Murder: Gabby Petito: Season 1;130100000;60500000
Wednesday: Season 1;410500000;60300000
The Night Agent: Season 2;503800000;58500000
Stranger Things 2;440000000;55800000
Monster: The Ed Gein Story;415600000;55800000
Squid Game: Season 1 // 오징어 게임: 시즌 1;456200000;54900000
Stranger Things 4;697700000;53400000
American Primeval: Limited Series;269000000;53400000
Stranger Things 3;397700000;52700000
Sean Combs: The Reckoning: Limited Series;209800000;50800000
The Four Seasons: Season 1;206100000;48000000
Running Point: Season 1;237200000;46800000
American Manhunt: Osama bin Laden: Season 1;140400000;45800000
Man Vs Baby: Season 1;85500000;43500000
La Palma: Limited Series;133300000;43400000
The Beast in Me: Limited Series;283600000;43000000
The Residence: Season 1;331600000;42900000
Cassandra: Limited Series;208400000;42300000
Secrets We Keep: Limited Series // Reservatet: Miniserie;155800000;41700000
Peppa Pig: Season 6;84700000;41600000
You: Season 5;349000000;41300000
When Life Gives You Tangerines: Limited Series // 폭싹 속았수다: 리미티드 시리즈;683800000;41200000
The Waterfront: Season 1;258500000;40300000
XO, Kitty: Season 2;163500000;40200000
Wayward: Limited Series;236300000;39800000
The Trauma Code: Heroes on Call: Season 1 // 중증외상센터: 시즌 1;274700000;39600000
My Life With the Walter Boys: Season 2;293500000;39400000
Dept. Q: Season 1;324200000;39200000
Bon Appétit, Your Majesty: Limited Series // 폭군의 셰프: 리미티드 시리즈;588300000;37500000
The Åre Murders: Season 1 // Åremorden: Säsong 1;135100000;37200000
The Gardener: Limited Series // El jardinero: Miniserie;173400000;37100000
Hostage: Limited Series;132200000;36900000
Amy Bradley Is Missing: Season 1;81000000;36500000
SAKAMOTO DAYS: Season 1;212100000;36500000
Black Mirror: Season 7;224500000;36300000
Gabby's Dollhouse: Season 11;88300000;36300000
Ángela: Limited Series;179200000;35700000
Ransom Canyon: Season 1;271600000;34400000
The Eternaut: Season 1 // El Eternauta: Temporada 1;176400000;32700000
The Breakthrough: Limited Series // Genombrottet: Miniserie;86000000;32400000
The Night Agent: Season 1;261900000;32000000
KPop Demon Hunters Lyric Videos;8500000;31900000
Peppa Pig: Season 3;64600000;31800000
PULSE: Season 1;253400000;31800000
Peppa Pig: Season 1;126900000;31300000
The Hunting Wives: Season 1;208900000;31300000
Boots: Season 1;179800000;30700000
Nobody Wants This: Season 2;134600000;30400000
Emily in Paris: Season 5;175000000;30300000
Gabby's Dollhouse: Season 1;121400000;30100000
Peppa Pig: Season 4;61400000;29900000
Billionaires' Bunker: Season 1 // El refugio atómico: Temporada 1;207200000;28200000
Masha and the Bear: Season 5;91900000;28100000
Ginny & Georgia: Season 1;256100000;28000000
The Survivors: Limited Series;138900000;28000000
The Recruit: Season 2;150100000;27800000
Weak Hero: Class 1 // 약한영웅: Class 1;151300000;27400000
Masha and the Bear: Season 1;88500000;26600000
Peppa Pig: Season 5;54700000;26600000
Fred and Rose West: A British Horror Story: Limited Series;69100000;26400000
Ms. Rachel: Season 2;79500000;26200000
Gone Girls: The Long Island Serial Killer: Season 1;68900000;26000000
Two Graves: Limited Series // Dos tumbas: Miniserie;64100000;25800000
Weak Hero: Class 2 // 약한영웅: Class 2;147600000;25600000
Bebefinn: Season 1;64400000;25400000
Ginny & Georgia: Season 2;248100000;25400000
The Witcher: Season 4;182300000;25400000
Alice in Borderland: Season 3 // 今際の国のアリス: シーズン3;166600000;25300000
Bebefinn: Season 2;63100000;25300000
Young Sheldon: Season 1;179700000;24900000
Absentia: Season 1;182000000;24800000
Beauty in Black: Season 1;313000000;24800000
Black Rabbit: Limited Series;186800000;24600000
My Life With the Walter Boys: Season 1;186900000;24600000
FOREVER: Season 1;158400000;24400000
Beauty in Black: Season 2;168000000;24200000
The Glass Dome: Limited Series // Glaskupan: Miniserie;112100000;24200000
Mercy For None: Limited Series // 광장: 리미티드 시리즈;120200000;23900000
Unspeakable Sins: Season 1 // Pecados inconfesables: Temporada 1;267000000;23900000
Medusa: Season 1;176600000;23600000
House of Guinness: Season 1;162100000;23500000
Peppa Pig: Season 2;95700000;23500000
The Recruit: Season 1;172700000;23500000
The Asset: Season 1 // Legenden: Sæson 1;110500000;23200000
Black Doves: Season 1;127000000;23000000
Fit for TV: The Reality of the Biggest Loser: Season 1;48400000;23000000
Olympo: Season 1;146500000;23000000
Breaking Bad: Season 1;133000000;22900000
Genie, Make a Wish: Season 1 // 다 이루어질지니: 시즌 1;290800000;22700000
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1;146600000;22600000
Cobra Kai: Season 6;226300000;22400000
Nobody Wants This: Season 1;97000000;22000000
PAW Patrol: Season 8;219400000;21900000
Fake Profile: Killer Match // Perfil falso;155300000;21800000
Devil May Cry: Season 1;85400000;21700000
Rulers of Fortune: Season 1 // Os Donos do Jogo: Temporada 1;163200000;21600000
Gabby's Dollhouse: Season 2;69600000;21500000
Little Angel: Volume 1;79100000;21200000
Last Samurai Standing: Season 1 // イクサガミ: シーズン1;108300000;21000000
The Diplomat: Season 3;134800000;20800000
