Row;Title;Country;Saga;Genre;Animation;Hours Viewed;Views;Image URL V;Image URL H;Image URL Saga
1;KPop Demon Hunters;USA;KPop Demon Hunters;Action/Musical;Yes;863700000;518300000;https://image.tmdb.org/t/p/original/rJjhOuRFldNF0OWSuSk4PiCLmeA.jpg;https://image.tmdb.org/t/p/original/rJjhOuRFldNF0OWSuSk4PiCLmeA.jpg;
2;Back in Action;USA;Back in Action;Action/Comedy;No;361600000;190300000;https://image.tmdb.org/t/p/original/3L3l6LsiLGHkTG4RFB2aBA6BttB.jpg;https://image.tmdb.org/t/p/original/mkxGpqh4yOYqtENv01IrDcesFRf.jpg;
3;Happy Gilmore 2;USA;Happy Gilmore;Comedy;No;265700000;135100000;https://image.tmdb.org/t/p/original/ynT06XivgBDkg7AtbDbX1dJeBGY.jpg;https://image.tmdb.org/t/p/original/stCEYCxA3SknIIne1H4LmaIJ8ii.jpg;https://image.tmdb.org/t/p/original/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
4;STRAW;USA;STRAW;Drama/Thriller;No;220200000;122300000;https://image.tmdb.org/t/p/original/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg;https://image.tmdb.org/t/p/original/wnnu8htEZBLtwrke9QYfLKx6zjp.jpg;
5;The Life List;USA;The Life List;Romance/Comedy;No;245700000;118000000;https://image.tmdb.org/t/p/original/5fg98cVo7da7OIK45csdLSd4NaU.jpg;https://image.tmdb.org/t/p/original/4ybnt8HD4slaCykBXNZwZaLd5LQ.jpg;
6;Havoc;UK/USA;Havoc;Action/Thriller;No;200300000;112400000;https://image.tmdb.org/t/p/original/ubP2OsF3GlfqYPvXyLw9d78djGX.jpg;https://image.tmdb.org/t/p/original/7rKyFSg6SdLoCRCVoWLjL5k658k.jpg;
7;Despicable Me 4;USA;Despicable Me;Comedy;Yes;167800000;107100000;https://image.tmdb.org/t/p/original/7aE05hgqGxMECJdZiLuQKs3abTV.jpg;https://image.tmdb.org/t/p/original/twsxsfao6ZOVvT8LfudH603MMi6.jpg;https://image.tmdb.org/t/p/original/qGJVXCFyQTGZlGgC2M4cFYGSiuz.jpg
8;Exterritorial;Germany;Exterritorial;Action/Thriller;No;191800000;105600000;https://image.tmdb.org/t/p/original/7tWkxxiqraVx1IzYd4DHv6FIvhS.jpg;https://image.tmdb.org/t/p/original/14UFWFJsGeInCbhTiehRLTff4Yx.jpg;
9;The Secret Life of Pets;USA;The Secret Life of Pets;Comedy;Yes;147100000;101400000;https://image.tmdb.org/t/p/original/5f8rTQq42nQVGGes9SCV9AnD0II.jpg;https://image.tmdb.org/t/p/original/c1Ywtvlqls6tPBZ3BqbPtBwHyng.jpg;https://image.tmdb.org/t/p/original/5f8rTQq42nQVGGes9SCV9AnD0II.jpg
10;Despicable Me 3;USA;Despicable Me;Comedy;Yes;147500000;98400000;https://image.tmdb.org/t/p/original/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg;https://image.tmdb.org/t/p/original/ftRkFtAGuHngHnLiOxktq0aCVMF.jpg;https://image.tmdb.org/t/p/original/qGJVXCFyQTGZlGgC2M4cFYGSiuz.jpg
