Title;Country;Format;Genre;Saga;Hours Viewed;Views;Image URL V;Image URL H;Image URL Saga
A Discovery of Witches: Season 1;UK;Series;Drama;A Discovery of Witches;100200000;17500000;;;
Absentia: Season 1;USA;Series;Drama;Absentia;182000000;24800000;;;
Adolescence: Limited Series;UK;Limited Series;Drama;Adolescence;632000000;164900000;https://image.tmdb.org/t/p/original/20i4nShZZg1g1VFHSB8xpaYM4r7.jpg;https://image.tmdb.org/t/p/original/llZodlkVKRkTdUsiRxvn8h80hhx.jpg;
Alice in Borderland: Season 3 // 今際の国のアリス: シーズン3;Japan;Series;Thriller/Sci-Fi;Alice in Borderland;166600000;25300000;;;
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1;Japan;Series;Thriller/Sci-Fi;Alice in Borderland;146600000;22600000;;;
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2;Japan;Series;Thriller/Sci-Fi;Alice in Borderland;145900000;17100000;;;
American Manhunt: Osama bin Laden: Season 1;USA;Series;Documentary;American Manhunt;140400000;45800000;;;
American Manhunt: O.J. Simpson: Season 1;USA;Series;Documentary;American Manhunt;95400000;19000000;;;
American Murder: Gabby Petito: Season 1;USA;Series;Documentary/True Crime;American Murder: Gabby Petito;130100000;60500000;;;
American Primeval: Limited Series;USA;Limited Series;Western Drama;American Primeval;269000000;53400000;;;
Amy Bradley Is Missing: Season 1;USA;Series;Documentary/True Crime;Amy Bradley Is Missing;81000000;36500000;;;
Ángela: Limited Series;Spain;Limited Series;Thriller;Ángela;179200000;35700000;https://image.tmdb.org/t/p/original/osF1AE0hpUPM2xvOq5LK4MuT2v3.jpg;https://image.tmdb.org/t/p/original/kKsGQHdMll9e5YRhSr7kr4G6Tri.jpg;
Apple Cider Vinegar: Limited Series;Australia;Limited Series;Drama;Apple Cider Vinegar;121100000;19500000;;;
As You Stood By: Limited Series // 당신이 죽였다: 리미티드 시리즈;South Korea;Series;Thriller;As You Stood By;148400000;17800000;;;
Asterix & Obelix: The Big Fight: Limited Series // Astérix & Obélix : Le Combat des Chefs: Mini-série;France;Limited Series;Animation/Kids;Asterix & Obelix: The Big Fight;59400000;19600000;;;
Bad Dinosaurs: Season 1;UK;Series;Kids;Bad Dinosaurs;47900000;16900000;;;
Bad Influence: The Dark Side of Kidfluencing: Season 1;USA;Series;Documentary;Bad Influence: The Dark Side of Kidfluencing;52200000;20600000;;;
Barbie Life in the Dreamhouse: Season 1;USA;Series;Kids/Animation;Barbie Life in the Dreamhouse;90800000;18900000;;;
Beauty in Black: Season 1;USA;Series;Drama;Beauty in Black;313000000;24800000;;;
Beauty in Black: Season 2;USA;Limited Series;Drama;Beauty in Black;168000000;24200000;;;
Bebefinn: Season 1;South Korea;Series;Kids;Bebefinn;64400000;25400000;;;
Bebefinn: Season 2;South Korea;Series;Kids;Bebefinn;63100000;25300000;;;
Bet: Season 1;USA;Limited Series;Thriller/Drama;Bet;96600000;16600000;;;
Beyond the Bar: Limited Series // 에스콰이어: 변호사를 꿈꾸는 변호사들: 리미티드 시리즈;South Korea;Limited Series;Legal Drama;Beyond the Bar;279500000;19900000;;;
El refugio atómico: Temporada 1;Spain;Series;Drama/Thriller;Billionaires' Bunker;207200000;28200000;https://image.tmdb.org/t/p/original/sSaPOors7XFNRtP9qsIZ7oeLgkh.jpg;https://image.tmdb.org/t/p/original/cyqKNRLFKCN9Y28ln38hLMESGEj.jpg;
Black Doves: Season 1;UK;Series;Thriller;Black Doves;127000000;23000000;;;
Black Mirror: Season 7;UK;Series;Sci-Fi/Anthology;Black Mirror;224500000;36300000;;;
Black Rabbit: Limited Series;USA;Limited Series;Crime Thriller;Black Rabbit;186800000;24600000;;;
Bon Appétit, Your Majesty: Limited Series // 폭군의 셰프: 리미티드 시리즈;South Korea;Limited Series;Fantasy/Romance;Bon Appétit, Your Majesty;588300000;37500000;;;
Boots: Season 1;USA;Series;Drama;Boots;179800000;30700000;;;
Breaking Bad: Season 1;USA;Series;Drama;Breaking Bad;133000000;22900000;;;
Breaking Bad: Season 2;USA;Series;Drama;Breaking Bad;181900000;17600000;;;
Breaking Bad: Season 3;USA;Series;Drama;Breaking Bad;161600000;15700000;;;
Bridgerton: Season 1;USA;Series;Drama;Bridgerton;144000000;17600000;;;
Bridgerton: Season 3;USA;Series;Period Romance;Bridgerton;139300000;17400000;;;
Brooklyn Nine-Nine: Season 3;USA;Series;Comedy;Brooklyn Nine-Nine;138500000;16800000;;;
Brooklyn Nine-Nine: Season 4;USA;Series;Comedy;Brooklyn Nine-Nine;123300000;15600000;;;
Canelo Álvarez vs. Terence Crawford;USA;Series;Live Sports;Canelo Álvarez vs. Terence Crawford;74800000;19100000;;;
Cassandra: Limited Series;Germany;Limited Series;Sci-Fi/Thriller;Cassandra;208400000;42300000;;;
Caught: Season 1 // Atrapados: Temporada 1;Argentina;Series;Drama;Caught;106900000;20500000;;;
Chip and Potato: Chip’s Holiday;Canada;Series;Kids;Chip and Potato: Chip’s Holiday;6300000;15800000;;;
Cobra Kai: Season 6;USA;Series;Action/Comedy;Cobra Kai;226300000;22400000;;;
CoComelon: Season 1;USA;Series;Kids;CoComelon Lane;60700000;20400000;;;
CoComelon Lane: Season 1;USA;Series;Kids;CoComelon Lane;75100000;19200000;;;
CoComelon Lane: Season 4;USA;Series;Kids;CoComelon Lane;21100000;16700000;;;
CoComelon Lane: Season 3;USA;Series;Kids;CoComelon Lane;9400000;16600000;;;
